description;setting;role;help;frequency;hierarchy;Duty;Intellect;Adversity;Mating;Positivity;Negativity;Deception;Sociality;Priority
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;6;6;4;1;5;3;1;5;7
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;2;5;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;regular;;4;5;1;6;6;1;1;6;7
I am having a dinner with my partner which is restricted to family members.;family;partner;neither;occasional;;6;6;3;1;4;3;2;4;4
I am meeting a member of my extended family for our weekly sports training.;sport;extendedFamily;neither;regular;;1;4;1;6;6;1;1;6;7
I have accepted an invitation from my supervisor to practice sports together this weekend.;sport;supervisor;neither;occasional;Higher;5;6;1;1;4;3;1;5;7
I have planned my regular movie night with my supervisor.;casual;supervisor;neither;regular;Higher;5;4;2;1;5;1;1;5;6
I am going shopping with my supervisor because they asked for my advice.;casual;supervisor;giving;occasional;Higher;5;5;1;1;4;3;1;5;6
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;5;6;3;1;5;3;1;3;7
I have a meeting with my supervisor to get some feedback and help on a new project proposal I am working on. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;receiving;occasional;Higher;5;6;1;1;6;1;1;4;5
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;Higher;6;4;1;1;5;1;1;3;7
I am having a dinner with my sibling which is restricted to family members.;family;sibling;neither;occasional;Higher;3;5;1;1;6;1;1;4;4
I have planned my regular movie night with my colleague.;casual;coWorker;neither;regular;Lower;6;5;1;1;4;1;1;4;7
I am meeting my colleague for a social event.;casual;coWorker;receiving;occasional;Lower;2;2;1;1;5;1;1;3;5
I am going shopping with my friend because they asked for my advice.;casual;friend;giving;occasional;;1;2;1;1;5;1;1;4;3
I am meeting my supervisor for a social event.;casual;supervisor;neither;occasional;Higher;1;5;2;1;3;5;5;4;1
I am meeting my friend because they need my expertise and help on their project.;work;friend;giving;occasional;;6;6;2;1;4;1;1;3;5
I am attending a project meeting with my supervisor to discuss the recent progress. Note that my supervisor is of higher hierarchy compared to me.;work;supervisor;neither;regular;Higher;6;4;2;1;4;3;1;6;5
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;regular;Higher;3;3;1;1;6;1;1;6;6
I am having a dinner with a member of my extended family which is restricted to family members.;family;extendedFamily;neither;occasional;Higher;2;4;2;5;4;2;1;6;2
